/// Wait... Image compression... This may take a few minutes
67F2EC47|请稍等……图像解压中……这可能会花费一些时间……
/// Wait... Parse assembly 
676EEA33|请稍等……解析组件……
/// Parse - ok
8FD05778|解析 - ok
/// Error on Parse assembly 
783216DC|解析组件出错 
///    No Internet connection!!!
A4472FF8| 无法连接到网络!!!
///    No Internet connection!!! 
BC0C3AEE| 无法连接到网络!!! 
///   Exit new version\n
65C60228|退出新版本\n
/// Waiting...  open unity GameDir..
4882047|请稍等…….  open unity GameDir..
/// Open unity GameDir - end
76D2CE09|打开Unity游戏目录- 完成
///   (binary shader)
9D41F04E|(binary shader)
///   ......\nShader trancated for DEMO VERSION, Real len: 
ECA96CA1|......\n试用版只显示着色器部分代码！实际长度: 
/// // Not found assembly: 
4D34EB5B|// 未找到组件: 
/// \n// This project used IL2CPP, assembly converted to native code.
7981C3BD|\n// 这个工程使用了IL2CPP,组件转换为本地代码.
/// //Not found assembly: 
C7E2652|//未找到组件: 
///   Save text
4EC4922D|保存文本
///   test
EAE38E77|测试
/// OK
CE0FB7E1|OK
///   Script decimpilation options
391D7F38|脚本反编译选项
///   Script decompilation
FCB4E352|脚本反编译
/// Disable decompilation
120E3FB8|禁用反编译
///   JDecompiler
8AFC8F39|JDecompiler反编译器
///   Standart decompiler
EEA3A483|标准反编译器
///   Scene params
2A11D566|场景参数
///   Make direct MeshAsset (else Mesh by .obj file)
E3E1083F|创建直接的网格组建(其他的网格模型使用.obj文件)
///   Make all GameObjects as Active (override)
33C19C13|将所有GameObjects激活 (覆盖)
///   Keystore 
FFDFA781|密钥库
/// Without signature (apk without signature - can not be installed on the device)
BA63D79B|没有签名(apk没有签名 - 无法在设备上安装)
///   Store password
B0EF04E6|存储密码
///   NDName
3B82BA7F|NDName
///   Key password
F15325AD|密钥密码
///   Key alias
B2682AD4|密钥别名
///   Keystore file
101C8A80|密钥库文件
/// Select custom key
C52368B|选择自定义密钥
/// Create temp key
276F9AC4|创建临时密钥
/// Paths
18D1C1FD|路径
///   JDK installer link
293D5432|JDK安装程序链接
///   zipalign path
20BAED5F|zipalign路径
///   jarsigner path
7119B2A9|jarsigner路径
///   keytool path
9A043CA4|keytool路径
///   Make apk
